date,hour,day_of_week,weather,promotion,event,covers
2025-01-01,0,Wednesday,Cloudy,0,0,8
2025-01-01,1,Wednesday,Cloudy,0,0,7
2025-01-01,2,Wednesday,Cloudy,0,0,2
2025-01-01,3,Wednesday,Cloudy,0,0,2
2025-01-01,4,Wednesday,Cloudy,0,0,3
2025-01-01,5,Wednesday,Cloudy,0,0,9
2025-01-01,6,Wednesday,Cloudy,0,0,8
2025-01-01,7,Wednesday,Cloudy,0,0,6
2025-01-01,8,Wednesday,Cloudy,0,0,0
2025-01-01,9,Wednesday,Cloudy,0,0,3
2025-01-01,10,Wednesday,Cloudy,0,0,4
2025-01-01,11,Wednesday,Cloudy,0,0,2
2025-01-01,12,Wednesday,Cloudy,0,0,45
2025-01-01,13,Wednesday,Cloudy,0,0,42
2025-01-01,14,Wednesday,Cloudy,0,0,35
2025-01-01,15,Wednesday,Cloudy,0,0,3
2025-01-01,16,Wednesday,Cloudy,0,0,4
2025-01-01,17,Wednesday,Cloudy,0,0,0
2025-01-01,18,Wednesday,Cloudy,0,0,65
2025-01-01,19,Wednesday,Cloudy,0,0,65
2025-01-01,20,Wednesday,Cloudy,0,0,55
2025-01-01,21,Wednesday,Cloudy,0,0,63
2025-01-01,22,Wednesday,Cloudy,0,0,6
2025-01-01,23,Wednesday,Cloudy,0,0,0
2025-01-02,0,Thursday,Rain,0,1,10
2025-01-02,1,Thursday,Rain,0,1,6
2025-01-02,2,Thursday,Rain,0,1,0
2025-01-02,3,Thursday,Rain,0,1,2
2025-01-02,4,Thursday,Rain,0,1,10
2025-01-02,5,Thursday,Rain,0,1,0
2025-01-02,6,Thursday,Rain,0,1,2
2025-01-02,7,Thursday,Rain,0,1,1
2025-01-02,8,Thursday,Rain,0,1,2
2025-01-02,9,Thursday,Rain,0,1,8
2025-01-02,10,Thursday,Rain,0,1,10
2025-01-02,11,Thursday,Rain,0,1,0
2025-01-02,12,Thursday,Rain,0,1,37
2025-01-02,13,Thursday,Rain,0,1,46
2025-01-02,14,Thursday,Rain,0,1,37
2025-01-02,15,Thursday,Rain,0,1,4
2025-01-02,16,Thursday,Rain,0,1,3
2025-01-02,17,Thursday,Rain,0,1,6
2025-01-02,18,Thursday,Rain,0,1,64
2025-01-02,19,Thursday,Rain,0,1,60
2025-01-02,20,Thursday,Rain,0,1,62
2025-01-02,21,Thursday,Rain,0,1,64
2025-01-02,22,Thursday,Rain,0,1,7
2025-01-02,23,Thursday,Rain,0,1,8
2025-01-03,0,Friday,Cloudy,0,0,9
2025-01-03,1,Friday,Cloudy,0,0,1
2025-01-03,2,Friday,Cloudy,0,0,0
2025-01-03,3,Friday,Cloudy,0,0,1
2025-01-03,4,Friday,Cloudy,0,0,8
2025-01-03,5,Friday,Cloudy,0,0,0
2025-01-03,6,Friday,Cloudy,0,0,10
2025-01-03,7,Friday,Cloudy,0,0,9
2025-01-03,8,Friday,Cloudy,0,0,9
2025-01-03,9,Friday,Cloudy,0,0,8
2025-01-03,10,Friday,Cloudy,0,0,2
2025-01-03,11,Friday,Cloudy,0,0,1
2025-01-03,12,Friday,Cloudy,0,0,42
2025-01-03,13,Friday,Cloudy,0,0,35
2025-01-03,14,Friday,Cloudy,0,0,40
2025-01-03,15,Friday,Cloudy,0,0,8
2025-01-03,16,Friday,Cloudy,0,0,7
2025-01-03,17,Friday,Cloudy,0,0,10
2025-01-03,18,Friday,Cloudy,0,0,60
2025-01-03,19,Friday,Cloudy,0,0,55
2025-01-03,20,Friday,Cloudy,0,0,56
2025-01-03,21,Friday,Cloudy,0,0,57
2025-01-03,22,Friday,Cloudy,0,0,9
2025-01-03,23,Friday,Cloudy,0,0,5
2025-01-04,0,Saturday,Cloudy,0,0,23
2025-01-04,1,Saturday,Cloudy,0,0,20
2025-01-04,2,Saturday,Cloudy,0,0,27
2025-01-04,3,Saturday,Cloudy,0,0,29
2025-01-04,4,Saturday,Cloudy,0,0,20
2025-01-04,5,Saturday,Cloudy,0,0,28
2025-01-04,6,Saturday,Cloudy,0,0,29
2025-01-04,7,Saturday,Cloudy,0,0,22
2025-01-04,8,Saturday,Cloudy,0,0,25
2025-01-04,9,Saturday,Cloudy,0,0,28
2025-01-04,10,Saturday,Cloudy,0,0,30
2025-01-04,11,Saturday,Cloudy,0,0,26
2025-01-04,12,Saturday,Cloudy,0,0,56
2025-01-04,13,Saturday,Cloudy,0,0,65
2025-01-04,14,Saturday,Cloudy,0,0,64
2025-01-04,15,Saturday,Cloudy,0,0,26
2025-01-04,16,Saturday,Cloudy,0,0,24
2025-01-04,17,Saturday,Cloudy,0,0,21
2025-01-04,18,Saturday,Cloudy,0,0,81
2025-01-04,19,Saturday,Cloudy,0,0,83
2025-01-04,20,Saturday,Cloudy,0,0,75
2025-01-04,21,Saturday,Cloudy,0,0,76
2025-01-04,22,Saturday,Cloudy,0,0,25
2025-01-04,23,Saturday,Cloudy,0,0,29
2025-01-05,0,Sunday,Sunny,1,0,33
2025-01-05,1,Sunday,Sunny,1,0,38
2025-01-05,2,Sunday,Sunny,1,0,37
2025-01-05,3,Sunday,Sunny,1,0,31
2025-01-05,4,Sunday,Sunny,1,0,29
2025-01-05,5,Sunday,Sunny,1,0,31
2025-01-05,6,Sunday,Sunny,1,0,30
2025-01-05,7,Sunday,Sunny,1,0,34
2025-01-05,8,Sunday,Sunny,1,0,32
2025-01-05,9,Sunday,Sunny,1,0,37
2025-01-05,10,Sunday,Sunny,1,0,34
2025-01-05,11,Sunday,Sunny,1,0,33
2025-01-05,12,Sunday,Sunny,1,0,81
2025-01-05,13,Sunday,Sunny,1,0,84
2025-01-05,14,Sunday,Sunny,1,0,81
2025-01-05,15,Sunday,Sunny,1,0,32
2025-01-05,16,Sunday,Sunny,1,0,31
2025-01-05,17,Sunday,Sunny,1,0,33
2025-01-05,18,Sunday,Sunny,1,0,110
2025-01-05,19,Sunday,Sunny,1,0,108
2025-01-05,20,Sunday,Sunny,1,0,101
2025-01-05,21,Sunday,Sunny,1,0,102
2025-01-05,22,Sunday,Sunny,1,0,37
2025-01-05,23,Sunday,Sunny,1,0,37
2025-01-06,0,Monday,Rain,0,1,2
2025-01-06,1,Monday,Rain,0,1,10
2025-01-06,2,Monday,Rain,0,1,8
2025-01-06,3,Monday,Rain,0,1,1
2025-01-06,4,Monday,Rain,0,1,4
2025-01-06,5,Monday,Rain,0,1,5
2025-01-06,6,Monday,Rain,0,1,3
2025-01-06,7,Monday,Rain,0,1,7
2025-01-06,8,Monday,Rain,0,1,10
2025-01-06,9,Monday,Rain,0,1,7
2025-01-06,10,Monday,Rain,0,1,3
2025-01-06,11,Monday,Rain,0,1,1
2025-01-06,12,Monday,Rain,0,1,41
2025-01-06,13,Monday,Rain,0,1,37
2025-01-06,14,Monday,Rain,0,1,44
2025-01-06,15,Monday,Rain,0,1,7
2025-01-06,16,Monday,Rain,0,1,4
2025-01-06,17,Monday,Rain,0,1,6
2025-01-06,18,Monday,Rain,0,1,63
2025-01-06,19,Monday,Rain,0,1,61
2025-01-06,20,Monday,Rain,0,1,66
2025-01-06,21,Monday,Rain,0,1,66
2025-01-06,22,Monday,Rain,0,1,0
2025-01-06,23,Monday,Rain,0,1,10
2025-01-07,0,Tuesday,Sunny,0,0,6
2025-01-07,1,Tuesday,Sunny,0,0,6
2025-01-07,2,Tuesday,Sunny,0,0,10
2025-01-07,3,Tuesday,Sunny,0,0,2
2025-01-07,4,Tuesday,Sunny,0,0,4
2025-01-07,5,Tuesday,Sunny,0,0,8
2025-01-07,6,Tuesday,Sunny,0,0,2
2025-01-07,7,Tuesday,Sunny,0,0,6
2025-01-07,8,Tuesday,Sunny,0,0,6
2025-01-07,9,Tuesday,Sunny,0,0,10
2025-01-07,10,Tuesday,Sunny,0,0,0
2025-01-07,11,Tuesday,Sunny,0,0,2
2025-01-07,12,Tuesday,Sunny,0,0,46
2025-01-07,13,Tuesday,Sunny,0,0,42
2025-01-07,14,Tuesday,Sunny,0,0,41
2025-01-07,15,Tuesday,Sunny,0,0,6
2025-01-07,16,Tuesday,Sunny,0,0,8
2025-01-07,17,Tuesday,Sunny,0,0,8
2025-01-07,18,Tuesday,Sunny,0,0,65
2025-01-07,19,Tuesday,Sunny,0,0,61
2025-01-07,20,Tuesday,Sunny,0,0,61
2025-01-07,21,Tuesday,Sunny,0,0,70
2025-01-07,22,Tuesday,Sunny,0,0,4
2025-01-07,23,Tuesday,Sunny,0,0,8
2025-01-08,0,Wednesday,Sunny,0,0,2
2025-01-08,1,Wednesday,Sunny,0,0,2
2025-01-08,2,Wednesday,Sunny,0,0,4
2025-01-08,3,Wednesday,Sunny,0,0,4
2025-01-08,4,Wednesday,Sunny,0,0,6
2025-01-08,5,Wednesday,Sunny,0,0,6
2025-01-08,6,Wednesday,Sunny,0,0,6
2025-01-08,7,Wednesday,Sunny,0,0,10
2025-01-08,8,Wednesday,Sunny,0,0,10
2025-01-08,9,Wednesday,Sunny,0,0,8
2025-01-08,10,Wednesday,Sunny,0,0,0
2025-01-08,11,Wednesday,Sunny,0,0,6
2025-01-08,12,Wednesday,Sunny,0,0,42
2025-01-08,13,Wednesday,Sunny,0,0,49
2025-01-08,14,Wednesday,Sunny,0,0,39
2025-01-08,15,Wednesday,Sunny,0,0,0
2025-01-08,16,Wednesday,Sunny,0,0,4
2025-01-08,17,Wednesday,Sunny,0,0,0
2025-01-08,18,Wednesday,Sunny,0,0,61
2025-01-08,19,Wednesday,Sunny,0,0,61
2025-01-08,20,Wednesday,Sunny,0,0,71
2025-01-08,21,Wednesday,Sunny,0,0,65
2025-01-08,22,Wednesday,Sunny,0,0,6
2025-01-08,23,Wednesday,Sunny,0,0,4
2025-01-09,0,Thursday,Sunny,1,1,14
2025-01-09,1,Thursday,Sunny,1,1,10
2025-01-09,2,Thursday,Sunny,1,1,14
2025-01-09,3,Thursday,Sunny,1,1,6
2025-01-09,4,Thursday,Sunny,1,1,12
2025-01-09,5,Thursday,Sunny,1,1,4
2025-01-09,6,Thursday,Sunny,1,1,7
2025-01-09,7,Thursday,Sunny,1,1,14
2025-01-09,8,Thursday,Sunny,1,1,13
2025-01-09,9,Thursday,Sunny,1,1,10
